complaint,department
Autos and taxis blocking the entire left turn free lane in Santosh Nagar since morning.,Traffic
"Near district library, dirty open drain next to school children getting sick frequently. Kindly resolve.",Public Health
"In telecom colony, park walking track is broken senior citizens falling down daily. Kindly resolve.",Municipal Services
no zebr crosing pedstrians strugling to cros near APMC market yard Ring Road,Traffic
"Sir please look into this, unhygienic open defecation taking place along railway tracks due to lack of toilets near Balaji Layout main gate, health hazard and loss of dignity for community. Please send team as soon as possible.",Public Health
"Street light burning in afternoon time and turning off at 7 pm night opposite pedestrian subway, please take action immediately.",Electricity
"In Adarsh Layout Ward 60, people throwing garbage bags on vacant plot creating mini dumpyard since yesterday. Very difficult situation.",Sanitation
"In Telecom Colony Ward 113, open electric DP box on road children are playing nearby please lock it for past one week. Very difficult situation.",Electricity
"In Teachers Colony Ward 156, tap water is full yellow color cannot drink or use for cooking after last rain. Very difficult situation.",Water
"In Indira Gandhi Colony Ward 116, people throwing garbage bags on vacant plot creating mini dumpyard since yesterday. Very difficult situation.",Sanitation
"Complaining for the third time, dead dog carcass rotting on the roadside for three days behind Fish Market Yard, insects swarming and foul stench spreading across 200 meters. Please send team as soon as possible.",Sanitation
Serious public grievance: there is a unauthorized medical dispensary discarding used syringes and blood tubes into open lot close to government high school. This is grave danger of Hepatitis and HIV contamination. Kindly take remedial action.,Public Health
"Dirty open drain next to school children getting sick frequently at Ward 3, please take action immediately.",Public Health
"Sir please look into this, overloaded distribution transformer smoking and buzzing loudly right in front of Muncipal Community Hall, imminent failure risk requiring emergency capacity upgrade. Please send team as soon as possible.",Electricity
"Signal timer is too short only 10 seconds green for huge traffic near junction roundabout, please take action immediately.",Traffic
"In Ramakrishna Puram Ward 17, drainage smell is terrible in our lane please clean the gutter since past 10 days. Very difficult situation.",Drainage
"Opposite temple road, vehicles parked illegally on both sides of road blocking bus movement. Kindly resolve.",Traffic
"Storm drain choked with discarded mattress, thermocol and plastic crates near Vivekananda Colony main gate.",Drainage
plasic west burnig smuk entring insid house ward 133 since 2 days kindly fix,Sanitation
Water supply timing is very irregular please give water on fixed schedule behind Maternity Clinic after last rain.,Water
"In Adarsh Layout Ward 128, drainage smell is terrible in our lane please clean the gutter since two weeks. Very difficult situation.",Drainage
manhol covr missin open pit dangrous for walkrs ward 196 since 2 days kindly fix,Drainage
Critical danger: stagnant green slime water pooled in empty construction basement outside ESI Hospital! It is acting as massive breeding nursery for vector-borne disease mosquitoes. Immediate action requested.,Public Health
plz help drange is chokd sewag watr floding rad on Cross Road 4,Drainage
sewer lin blokd toilts runing bckward kindly clen near pedestrian subway Main Road,Drainage
"Sir, recently road was laid now fully broken and stones coming out at Station T-Junction. Nobody is responding.",Roads
"Traffic police needed at circle during school hours heavy jam close to petrol pump, please take action immediately.",Traffic
Our ward getting only 20 mins water while other areas getting 2 hours from last 3 days close to junction roundabout. High danger.,Water
"Sir, dirty open drain next to school children getting sick frequently on Service Lane. Nobody is responding.",Public Health
manhol covr missin open pit dangrous for walkrs ward 120 since 2 days kindly fix,Drainage
tap watr is smeling bd and dirty colr husehold prblm near community hall Cross Road 4,Water
"Sir, yellow blinker light not working at accident prone cross road at the entry of Siddhartha Nagar. Nobody is responding.",Traffic
"Sir, pothole depth is more than 1 foot any time major accident can happen right in front of District Veterinary Hospital. Nobody is responding.",Roads
watr loging knee dep aftr smal rain no drange outlt in Sri Krishna Layout ward 123,Drainage
Illegal animal slaughtering taking place in open street corner on 100 Feet Intermediate Road.,Public Health
"In Gandhi Gram Ward 188, park walking track is broken senior citizens falling down daily since yesterday. Very difficult situation.",Municipal Services
"In Postal Layout Ward 16, sewage line is choked toilets are overflowing in ground floor flats since yesterday. Very difficult situation.",Drainage
"Stagnant rainwater collected in discarded scrap tires outside repair shop between Teachers Colony and Ambedkar Chowk, proven high-density breeding site for Aedes dengue mosquitoes.",Public Health
"In Vikas Enclave Ward 74, public park gate is broken drunkards entering at night and breaking benches since yesterday. Very difficult situation.",Municipal Services
"Vehicles parked illegally on both sides of road blocking bus movement at the entry of Netaji Nagar, please take action immediately.",Traffic
"Complaining for the third time, dumping of industrial chemical sludge bags on vacant municipal land outside Ration Shop, acrid chemical fumes causing throat irritation to residents. Please send team as soon as possible.",Sanitation
"At the entry of pragati colony, signal timer is too short only 10 seconds green for huge traffic. Kindly resolve.",Traffic
crematrium furnas out of ordr pleas fix imedatly near flyover landing 80 Feet Road,Municipal Services
"In Indira Gandhi Colony Ward 142, yellow blinker light not working at accident prone cross road since past 10 days. Very difficult situation.",Traffic
"Sir, colony borewell motor spoiled please send mechanic urgently right in front of Kendriya Vidyalaya. Nobody is responding.",Water
"Electric pole is bent dangerously can fall any time please remove close to church square, please take action immediately.",Electricity
"In Sri Krishna Layout Ward 26, plz repair this road immediately bike riders falling daily since yesterday. Very difficult situation.",Roads
Vehicles parked illegally on both sides of road blocking bus movement since yesterday in Telecom Colony. High danger.,Traffic
Tree branches heavily tangled with bare 11kv electrical conductors along Bypass Road.,Electricity
"Attention Municipal Commissioner: waterlogging on subway underpass reaching 4 feet depth due to pump failure on GIDC Road, Ward 188! It is subway closed and traffic diverted for miles. Immediate action requested.",Drainage
"Hello civic team, boundary wall of municipal cemetery collapsed allowing stray animals inside close to rotary circle, desecration of graves and lack of basic civic dignity. Please send team as soon as possible.",Municipal Services
"In Adarsh Layout Ward 39, electric pole is bent dangerously can fall any time please remove since two weeks. Very difficult situation.",Electricity
"Road level difference between old and new asphalt patch close to town hall, creating sharp 4-inch ridge across lane.",Roads
"Dear authority, pedestrian zebra crossing paint completely faded and invisible right in front of Co-operative Bank, pedestrians and senior citizens unable to cross safely without risk. Please send team as soon as possible.",Traffic
Road is fully damaged and full of big potholes in Shastri Nagar from last 3 days.,Roads
"In Kuvempu Nagar Ward 179, drinking water is coming dirty and smelling like drainage since past 10 days. Very difficult situation.",Water
"Municipal nursery security fencing torn allowing illegal encroachment at the entry of Balaji Layout, valuable plant saplings and trees destroyed by cattle.",Municipal Services
Extremely hazardous condition: drinking water cooler installed in municipal office complex dead and dry near overhead water tank! It is visitors arriving for property tax work left without water. Immediate action requested.,Municipal Services
"On 80 feet road, speed breaker warning sign missing drivers jumping speed breaker at high speed. Kindly resolve.",Traffic
"Terrible smell from open drain and stagnant water causing vomiting along 4th Cross, 2nd Main since morning.",Public Health
"Disaster waiting to happen: roadside gutter wall broken causing sewage to seep into adjacent soil on Inner Circular Road, Ward 132! It is eroding the road base and causing asphalt edge to collapse. Immediate action requested.",Drainage
Disaster waiting to happen: public drinking water tap leaking non-stop 24 hours a day at Ward 135! It is clean potable water flowing down into gutter. Immediate action requested.,Water
illegl parkng blockng entir stret buses stck in Vivekananda Colony ward 61,Traffic
"No water coming in taps since last 4 days kindly supply tanker every evening on Main Road, Ward 25. High danger.",Water
no zebr crosing pedstrians strugling to cros in Siddhartha Nagar ward 30,Traffic
"Entire stretch is totally unmotorable please do tarring work at the entry of Vivekananda Colony, please take action immediately.",Roads
"In Kuvempu Nagar Ward 2, open gym machines in garden are rusted and jammed not moving at all since two weeks. Very difficult situation.",Municipal Services
plz help signl timr is stck on red plese repare fast on Link Road,Traffic
"Sir please look into this, footpath pavers broken, dislodged and jutting out right in front of Maternity Clinic, pedestrians and senior citizens tripping constantly. Please send team as soon as possible.",Roads
"At the entry of defence enclave, transformer giving big blast sound and sparks falling down. Kindly resolve.",Electricity
"In Shastri Nagar Ward 62, signal timer is too short only 10 seconds green for huge traffic since past 10 days. Very difficult situation.",Traffic
"Due to traffic CCTV surveillance camera dangling by wire from signal pole in Telecom Colony, it is equipment knocked down by oversized container truck.",Traffic
Public park gate is broken drunkards entering at night and breaking benches from last 3 days close to church square. High danger.,Municipal Services
Traffic police needed at circle during school hours heavy jam between Kasturba Extension and Market Four Roads since morning.,Traffic
Urgent attention required: there is a industrial chemical effluent being discharged into open residential storm canal opposite district library. This is acrid fumes causing respiratory distress and eye irritation. Kindly take remedial action.,Public Health
guter overflowin ful stenk in residental aera in Green Glen Layout ward 99,Drainage
Attention Municipal Commissioner: damaged flexible traffic bollards uprooted and lying scattered across junction at the entry of Adarsh Layout! It is vehicles driving over median kerb. Immediate action requested.,Traffic
"No action taken so far, dumping of industrial chemical sludge bags on vacant municipal land on Main Road, acrid chemical fumes causing throat irritation to residents. Please send team as soon as possible.",Sanitation
"Drain silt was cleaned and left on road now all gone back in drain on Church Road, Ward 22, please take action immediately.",Drainage
Citizens facing acute problem because there is a dumping of industrial chemical sludge bags on vacant municipal land behind State Transport Depot. This is acrid chemical fumes causing throat irritation to residents. Kindly take remedial action.,Sanitation
Temporary electric wire hanging without insulation across open footpath right in front of Maternity Clinic.,Electricity
"Near balaji layout main gate, garbage is not being lifted since one week huge smell coming. Kindly resolve.",Sanitation
"Outside ward office, dangerous speed breaker without white zebra stripes riders getting hurt. Kindly resolve.",Roads
Electric pole is bent dangerously can fall any time please remove since two weeks near clock tower. High danger.,Electricity
Drain is overflowing sewage water coming into our house compound along Temple Street every evening.,Drainage
"Along bypass road, pothole depth is more than 1 foot any time major accident can happen. Kindly resolve.",Roads
Fish market waste thrown on road intolerable rotten stench near Tilak Road Extension main gate since yesterday.,Sanitation
It is brought to municipal notice that there is a tree branches heavily tangled with bare 11kV electrical conductors right in front of Govt Primary School. This is frequent sparks and localized power tripping during breeze. Kindly take remedial action.,Electricity
"Public toilet is filthy and overflowing nobody cleaning it since weeks on GIDC Road, Ward 89, please take action immediately.",Public Health
Vandalized public park benches with broken stone slabs and missing wooden slats along 6th Cross Avenue.,Municipal Services
"Please help, mud and silt coming through kitchen taps after water line repair near milk booth, sediment choking domestic water filters. Please send team as soon as possible.",Water
Disaster waiting to happen: deep drain construction trench left abandoned without safety boards outside ESI Hospital! It is water collecting inside and turning into stagnant breeding pool. Immediate action requested.,Drainage
"On 6th cross avenue, ward 84, cemetery boundary wall fell down stray dogs entering graveyard. Kindly resolve.",Municipal Services
"Extremely hazardous condition: tap water coming extremely muddy, brown, and foul-smelling close to milk booth! It is completely unfit for cooking and consumption. Immediate action requested.",Water
"Overhead jumper wire disconnected on utility pole causing partial blackout on Main Road, Ward 128, half the residential colony in darkness.",Electricity
"Outside fish market yard, people throwing garbage bags on vacant plot creating mini dumpyard. Kindly resolve.",Sanitation
"Plz repair this road immediately bike riders falling daily on 4th Cross, 2nd Main, Ward 30 every evening.",Roads
"Due to urgent vector fogging and anti-larval chemical spraying needed in colony along NH Bypass Service Road, it is dengue fever spreading from house to house.",Public Health
"Sir, storm felled a big tree across lane please send municipal chainsaw team outside District Veterinary Hospital. Nobody is responding.",Municipal Services
"At the entry of vikas enclave, fish market waste thrown on road intolerable rotten stench. Kindly resolve.",Sanitation
Very serious hazard: traffic CCTV surveillance camera dangling by wire from signal pole outside Taluk Office! It is equipment knocked down by oversized container truck. Immediate action requested.,Traffic
"Outside muncipal community hall, road has caved in middle of road heavy vehicles getting stuck. Kindly resolve.",Roads
"Pothole depth is more than 1 foot any time major accident can happen every evening on Main Road, Ward 78. High danger.",Roads
"Rain water has nowhere to go road becomes a river every small rain along Link Road, please take action immediately.",Drainage
Street light burning in afternoon time and turning off at 7 pm night on Ring Road since yesterday.,Electricity
Garbage is not being lifted since one week huge smell coming since past 10 days right in front of Railway Staff Colony. High danger.,Sanitation
Too many mosquitoes in our area dengue cases increasing please fog since past 10 days right in front of Ration Shop. High danger.,Public Health
Colony borewell motor spoiled please send mechanic urgently between Kasturba Extension and Nehru Roundabout since morning.,Water
Immediate intervention needed! substandard patch work washed away leaving larger holes right in front of Muncipal Community Hall! It is road condition worse than before repair. Immediate action requested.,Roads
Very serious hazard: stray dog pack showing symptoms of rabies and aggressively chasing residents at Ward 92! It is multiple dog bite incidents reported in the past 48 hours. Immediate action requested.,Public Health
watertanker did not cm today peopl strugling for watr near service road turn GIDC Road,Water
"Sir, our ward getting only 20 mins water while other areas getting 2 hours near Siddhartha Nagar main gate. Nobody is responding.",Water
urgent unhygenic foud stall causng stumach infaction Pragati Colony near pedestrian subway,Public Health
Hotel throwing rotten food and chicken waste attracting flies and rats right in front of Taluk Office since past 10 days.,Public Health
"In Surya Nagar Ward 12 Ward 71, anti-larval spray not done in our ward malaria spreading fast after last rain. Very difficult situation.",Public Health
"In indira gandhi colony, garbage is not being lifted since one week huge smell coming. Kindly resolve.",Sanitation
trnsfrmer spakring big blast noiz plz snd elctrician near bazaar circle Service Lane,Electricity
Please resolve issue where there is a fuse repeatedly blowing out on distribution transformer every evening outside ESI Hospital. This is load capacity insufficient for local consumer demand. Kindly take remedial action.,Electricity
"Sir, no dustbin provided in our market area people throwing waste on street right in front of City Library. Nobody is responding.",Sanitation
stagnnt wter breedng mosquitos chkungunya risk near flyover landing 100 Feet Intermediate Road,Public Health
"Please help, illegal burning of discarded rubber tires and wire cables at night on Temple Street, thick black toxic soot covering homes and clothes. Please send team as soon as possible.",Sanitation
huge pot hole on roadd please repaire urgently near service road turn College Road,Roads
Dustbin is totally overflowing dogs spreading trash everywhere from last 3 days between Green Glen Layout and Ambedkar Chowk. High danger.,Sanitation
"In Vikas Enclave Ward 87, shock is coming from street light pole when touching it very scary since yesterday. Very difficult situation.",Electricity
Water supply timing is very irregular please give water on fixed schedule outside State Transport Depot since morning.,Water
Fumigation needed in sector 8 after 6 confirmed cases of chikungunya,Public Health
"Electric wire is hanging very low anyone can get current shock on Station Approach Road, Ward 54, please take action immediately.",Electricity
Power cut since morning no current in our whole colony since two weeks outside District Veterinary Hospital. High danger.,Electricity
"Attention Municipal Commissioner: foul, nauseating stench from illegal poultry processing unit near residential school on Temple Street, Ward 65! It is students complaining of severe headaches and vomiting. Immediate action requested.",Public Health
Requesting immediate action as there is a unhygienic road-side eatery washing plates in dirty drain water outside Railway Staff Colony. This is food poisoning outbreak reported among local college students. Kindly take remedial action.,Public Health
"Continuous acute voltage fluctuations from 140v to 290v in Shastri Nagar, household refrigerators, TVs and motors getting damaged.",Electricity
tap watr is smeling bd and dirty colr husehold prblm ward 4 since 2 days kindly fix,Water
"Between rajaji sector 3 and ambedkar chowk, divider is broken cars taking dangerous u-turn causing accidents. Kindly resolve.",Traffic
Transformer giving big blast sound and sparks falling down since past 10 days at Ashok Pillar Crossing. High danger.,Electricity
"In Defence Enclave Ward 90, storm felled a big tree across lane please send municipal chainsaw team since yesterday. Very difficult situation.",Municipal Services
"At the entry of kasturba extension, huge pit on road no warning board kept very dangerous at night. Kindly resolve.",Roads
"Due to drainage outfall into main canal blocked by collapsed retaining wall behind State Transport Depot, it is backwater flooding low-lying residential slums.",Drainage
plz help sewer lin blokd toilts runing bckward kindly clen on Ring Road,Drainage
"Loose gravel scattered all over the newly laid asphalt on Service Lane, two-wheelers skidding frequently on brakes.",Roads
signl timr is stck on red plese repare fast in Vikas Enclave ward 102,Traffic
Power cut since morning no current in our whole colony at Collectorate Circle since yesterday.,Electricity
Garbage truck leaking dirty black liquid on entire road smelling awful right in front of District Veterinary Hospital since yesterday.,Sanitation
wter presure to low tps runing dry pleas help in Vinayaka Nagar ward 30,Water
"Due to low-hanging service electricity wire drooping across road carriage outside State Transport Depot, it is trucks and double-decker buses getting caught in cables.",Electricity
Stray dogs are biting people on street please catch them urgently outside Taluk Office every evening.,Public Health
urgent ward ofis offical not comming for publik complant Sri Krishna Layout near slaughterhouse cross,Municipal Services
"In Shastri Nagar Ward 126, broken manhole slab car wheel got stuck please replace cover from last 3 days. Very difficult situation.",Drainage
Requesting immediate action as there is a water meter spinning rapidly due to air pockets but delivering zero water opposite district library. This is erroneous excessive billing generated. Kindly take remedial action.,Water
electrik wir cut and hangin dngrously on stret near rotary circle Church Road,Electricity
urgent plasic west burnig smuk entring insid house Vidya Nagar near metro pillar 142,Sanitation
"Due to drinking water pipeline burst with high-pressure fountain on Station Road, Ward 158, it is millions of liters of clean water being wasted.",Water
crematrium furnas out of ordr pleas fix imedatly in Pragati Colony ward 49,Municipal Services
drange is chokd sewag watr floding rad ward 34 since 2 days kindly fix,Drainage
Low-hanging service electricity wire drooping across road carriage right in front of Co-operative Bank.,Electricity
"Outside govt girls hostel, drain silt was cleaned and left on road now all gone back in drain. Kindly resolve.",Drainage
"Unauthorized medical dispensary discarding used syringes and blood tubes into open lot along Cross Road 4, grave danger of Hepatitis and HIV contamination.",Public Health
"Sir, electric wire is hanging very low anyone can get current shock outside Sub-Registrar Office. Nobody is responding.",Electricity
Sweeper is sweeping dust into open drain instead of lifting it every evening at Ward 53. High danger.,Sanitation
"Due to deep ruts formed by overloaded trucks on hot asphalt in Netaji Nagar, it is making bike handling extremely unstable.",Roads
"Behind maternity clinic, divider is broken cars taking dangerous u-turn causing accidents. Kindly resolve.",Traffic
"Immediate intervention needed! illegal animal slaughtering taking place in open street corner in Netaji Nagar! It is blood, offal, and animal parts attracting packs of scavenger dogs. Immediate action requested.",Public Health
urgent electrik wir cut and hangin dngrously on stret Tilak Road Extension near railway level crossing,Electricity
"Respected sir, missing one-way entry sign board leading to head-on gridlock along Hospital Road, vehicles entering from wrong direction continuously. Please send team as soon as possible.",Traffic
urgent sewer lin blokd toilts runing bckward kindly clen Tilak Road Extension near grain mandi,Drainage
Road is fully damaged and full of big potholes at Nehru Roundabout since yesterday.,Roads
"Sir, public toilet is filthy and overflowing nobody cleaning it since weeks between Ramakrishna Puram and Station T-Junction. Nobody is responding.",Public Health
"Sir, drain is overflowing sewage water coming into our house compound close to industrial estate gate. Nobody is responding.",Drainage
"Electrical meter box on public utility pole burst into flames opposite temple road, fire hazard threatening adjacent residential power connections.",Electricity
"Stormwater drain completely choked with solid silt and plastic debris close to pedestrian subway, even light drizzle causing 2 feet of stagnant road waterlogging.",Drainage
urgent larg dri tre can fal on haus pleas trim branchs Defence Enclave near post office,Municipal Services
"Sir, gutters are fully blocked with mud road is flooded with knee deep water at Ward 73. Nobody is responding.",Drainage
"In Vinayaka Nagar Ward 95, people throwing garbage bags on vacant plot creating mini dumpyard from last 3 days. Very difficult situation.",Sanitation
"Public park gate is broken drunkards entering at night and breaking benches along 4th Cross, 2nd Main since past 10 days.",Municipal Services
huge pot hole on roadd please repaire urgently ward 109 since 2 days kindly fix,Roads
"Sir, colony borewell motor spoiled please send mechanic urgently behind Co-operative Bank. Nobody is responding.",Water
Autos and taxis blocking the entire left turn free lane opposite church square every evening.,Traffic
"Due to illegal sale of stale, artificially colored food items outside school gate between Pragati Colony and Highway Junction, it is children falling sick with acute abdominal cramps.",Public Health
Anti-larval spray not done in our ward malaria spreading fast since yesterday at Gandhi Circle. High danger.,Public Health
Pothole depth is more than 1 foot any time major accident can happen opposite central vegetable market every evening.,Roads
Storm felled a big tree across lane please send municipal chainsaw team since morning close to bus stop. High danger.,Municipal Services
"Recently road was laid now fully broken and stones coming out on Inner Circular Road, Ward 39, please take action immediately.",Roads
"On church road, water tanker driver demanding extra money and not giving full water. Kindly resolve.",Water
powrcut since 12 hrs no electrsity in ward near mosque corner Inner Circular Road,Electricity
"Shock is coming from street light pole when touching it very scary on 4th Cross, 2nd Main, Ward 87, please take action immediately.",Electricity
"Along 100 feet intermediate road, garbage truck leaking dirty black liquid on entire road smelling awful. Kindly resolve.",Sanitation
Crematorium furnace not working people waiting with dead body in grief since past 10 days close to APMC market yard. High danger.,Municipal Services
Municipal water tanker did not arrive as per scheduled distribution near weekly bazaar ground.,Water
"Auto drivers refusing to come because of pathetic road condition outside Ward Office, please take action immediately.",Roads
"Due to sewer cleaning suction jetting machine needed for persistent pipeline blockage at Ward 21, it is manual rodding failed to clear compacted silt.",Drainage
plz help trnsfrmer spakring big blast noiz plz snd elctrician on Ring Road,Electricity
Auto drivers refusing to come because of pathetic road condition since morning right in front of Muncipal Community Hall. High danger.,Roads
"In Defence Enclave Ward 30, water supply timing is very irregular please give water on fixed schedule since two weeks. Very difficult situation.",Water
"At ward 96, drinking water is coming dirty and smelling like drainage. Kindly resolve.",Water
ovrflowin dustbin dogs scatring west on rad near flyover landing Hospital Road,Sanitation
urgent trafic signl not workin huge jam at chawk Bhavani Nagar near flyover landing,Traffic
"Main water pipe is broken drinking water running on road wastefully close to slaughterhouse cross, please take action immediately.",Water
"Outside railway staff colony, phase missing in our house only half lights working please fix fuse. Kindly resolve.",Electricity
"In Balaji Layout Ward 92, power cut since morning no current in our whole colony since morning. Very difficult situation.",Electricity
"Near netaji nagar main gate, road sign is hidden behind tree branches motorists missing the turn. Kindly resolve.",Traffic
"Sir, traffic police needed at circle during school hours heavy jam along Link Road. Nobody is responding.",Traffic
Street light burning in afternoon time and turning off at 7 pm night right in front of Urban Health Post after last rain.,Electricity
Kindly note that there is a fallen tree trunk blocking entire public promenade after storm near railway station approach. This is municipal tree cutting crew has not cleared heavy wood for days. Kindly take remedial action.,Municipal Services
plz help guter overflowin ful stenk in residental aera on Station Road,Drainage
urgent trnsfrmer spakring big blast noiz plz snd elctrician Vinayaka Nagar near bazaar circle,Electricity
"Due to pedestrian push-button crossing signal out of order on Hospital Road, Ward 109, it is pedestrians waiting 20 minutes to cross busy six-lane avenue.",Traffic
Sanitation auto not coming to our street trash piled up in homes every evening at Collectorate Circle. High danger.,Sanitation
Public safety at severe risk: deep drain construction trench left abandoned without safety boards at the entry of Gandhi Gram! It is water collecting inside and turning into stagnant breeding pool. Immediate action requested.,Drainage
"In Gandhi Gram Ward 100, public toilet is filthy and overflowing nobody cleaning it since weeks since two weeks. Very difficult situation.",Public Health
Entire stretch is totally unmotorable please do tarring work along Station Approach Road since past 10 days.,Roads
"Serious public grievance: there is a streetlight timer broken causing lights to stay ON in afternoon and OFF at night on GIDC Road, Ward 181. This is energy wasted by day while road is dark at night. Kindly take remedial action.",Electricity
"Behind kendriya vidyalaya, drinking water is coming dirty and smelling like drainage. Kindly resolve.",Water
Worst road condition not even able to walk properly outside Railway Staff Colony for past one week.,Roads
Gutters are fully blocked with mud road is flooded with knee deep water since morning along Bypass Road. High danger.,Drainage
Pothole depth is more than 1 foot any time major accident can happen close to rotary circle for past one week.,Roads
illegl parkng blockng entir stret buses stck ward 141 since 2 days kindly fix,Traffic
Traffic diversion sign boards left on roadway weeks after road work ended at Gandhi Circle.,Traffic
"In Ramakrishna Puram Ward 180, open drain in front of our gate school children can fall inside since yesterday. Very difficult situation.",Drainage
"Sir, open gym machines in garden are rusted and jammed not moving at all right in front of ESI Hospital. Nobody is responding.",Municipal Services
Open storm gutter without covering slab running in front of primary school on Church Road.,Drainage
"Dead stray cat decaying under roadside culvert near metro pillar 142, overwhelming stench penetrating ground floor residences.",Sanitation
urgent sewer lin blokd toilts runing bckward kindly clen Balaji Layout near community hall,Drainage
"Please resolve issue where there is a monsoon drain blocked causing rainwater to flood into ground floor homes along Main Road. This is furniture, groceries, and household goods submerged in sewage water. Kindly take remedial action.",Drainage
urgent crematrium furnas out of ordr pleas fix imedatly Sri Krishna Layout near temple road,Municipal Services
Hazardous biomedical waste including syringes and bandages dumped in open plot behind Ration Shop.,Sanitation
"Sir, rabid aggressive dog roaming in market area bit two children today right in front of Govt Primary School. Nobody is responding.",Public Health
"Sir, garbage is not being lifted since one week huge smell coming at Market Four Roads. Nobody is responding.",Sanitation
Recently road was laid now fully broken and stones coming out after last rain at Ward 59. High danger.,Roads
"At ward 98, big dry tree branch can fall on our house roof please cut it urgently. Kindly resolve.",Municipal Services
Storm felled a big tree across lane please send municipal chainsaw team in Telecom Colony since two weeks.,Municipal Services
"Dead cow lying near the highway bridge approach unattended on Station Approach Road, Ward 82.",Sanitation
"In Netaji Nagar Ward 126, dustbin is totally overflowing dogs spreading trash everywhere from last 3 days. Very difficult situation.",Sanitation
Rabid aggressive dog roaming in market area bit two children today between Adarsh Layout and University Cross since past 10 days.,Public Health
"Between teachers colony and market four roads, phase missing in our house only half lights working please fix fuse. Kindly resolve.",Electricity
Public park walking track paver tiles uprooted by banyan tree roots between Vinayaka Nagar and Collectorate Circle.,Municipal Services
"Due to foul kerosene-like chemical smell in municipal tap water along Cross Road 4, it is drinking water suspected to be chemically polluted.",Water
"Due to broken concrete speed breaker with exposed sharp iron rods at Patel Chowk, it is puncturing tires and injuring cyclists.",Roads
"Terrible smell from open drain and stagnant water causing vomiting right in front of State Transport Depot, please take action immediately.",Public Health
Missing drainage iron grating on roadside stormwater inlet outside Govt Primary School.,Drainage
Concrete pavement slabs shattered and unevenly sunken near Balaji Layout main gate.,Roads
"In Vinayaka Nagar Ward 69, garbage truck leaking dirty black liquid on entire road smelling awful for past one week. Very difficult situation.",Sanitation
"At ward 96, park walking track is broken senior citizens falling down daily. Kindly resolve.",Municipal Services
urgent ward ofis offical not comming for publik complant Kuvempu Nagar near flyover landing,Municipal Services
"Garbage truck leaking dirty black liquid on entire road smelling awful between Adarsh Layout and Ashok Pillar Crossing, please take action immediately.",Sanitation
"In Tilak Road Extension Ward 85, speed breaker warning sign missing drivers jumping speed breaker at high speed since past 10 days. Very difficult situation.",Traffic
"Kindly fix this problem, dumped rotten grain and spoiled potatoes producing noxious fermentation gases on Station Approach Road, Ward 46, severe health risk to residents with respiratory conditions. Please send team as soon as possible.",Public Health
Rabid aggressive dog roaming in market area bit two children today outside Sub-Registrar Office since yesterday.,Public Health
"Underground electrical power cable fault plunging entire block into darkness behind Ration Shop, business shops and residential units without electricity.",Electricity
"Due to damaged crash barrier on highway flyover curve behind Maternity Clinic, it is leaving dangerous open edge overlooking 30-foot drop to road below.",Traffic
drnking watr not comming in taps since 3 days near junction roundabout Hospital Road,Water
"In Ramakrishna Puram Ward 89, broken manhole slab car wheel got stuck please replace cover since morning. Very difficult situation.",Drainage
"Vehicles parked illegally on both sides of road blocking bus movement between Kasturba Extension and Clock Tower Square, please take action immediately.",Traffic
"In Surya Nagar Ward 12 Ward 178, open slaughter of animals in street blood running on road very unhygienic from last 3 days. Very difficult situation.",Public Health
urgent no zebr crosing pedstrians strugling to cros Ramakrishna Puram near community hall,Traffic
"Due to municipal water supply valve broken and jammed in closed position near mosque corner, it is entire lane deprived of scheduled water supply.",Water
"Respected sir, sluggish sewer flow causing toxic methane and hydrogen sulfide gas buildup close to toll plaza, foul sewer gas emanating through residential bathroom sinks. Please send team as soon as possible.",Drainage
Drinking water is coming dirty and smelling like drainage at the entry of Adarsh Layout since morning.,Water
Drainage outfall into main canal blocked by collapsed retaining wall between Pragati Colony and Ambedkar Chowk.,Drainage
Damaged crash barrier on highway flyover curve close to post office.,Traffic
"On cross road 4, someone burning plastic garbage in night time suffocating smoke. Kindly resolve.",Sanitation
Autos and taxis blocking the entire left turn free lane after last rain right in front of Civil Court. High danger.,Traffic
"Foul hydrogen sulfide gas leaking from open municipal drain near hospital at Gandhi Circle, patients experiencing breathing difficulties in recovery wards.",Public Health
"Respected sir, drinking water contaminated with sewage smell and black particles at Market Four Roads, several residents suffering from stomach infections. Please send team as soon as possible.",Water
"Hotel throwing rotten food and chicken waste attracting flies and rats on College Road, Ward 120 after last rain.",Public Health
Road has caved in middle of road heavy vehicles getting stuck every evening outside District Veterinary Hospital. High danger.,Roads
stret lite not glowing ful dark rad at nyt near bus stop Temple Street,Electricity
"At station t-junction, road sign is hidden behind tree branches motorists missing the turn. Kindly resolve.",Traffic
Open electric dp box on road children are playing nearby please lock it for past one week close to primary health centre. High danger.,Electricity
"Due to pest and rat infestation multiplying rapidly around abandoned grain godown on NH Bypass Service Road, Ward 77, it is rodents entering nearby homes and gnawing electric wires.",Public Health
Drain is overflowing sewage water coming into our house compound near church square from last 3 days.,Drainage
"Close to junction roundabout, someone burning plastic garbage in night time suffocating smoke. Kindly resolve.",Sanitation
"Between postal layout and patel chowk, garbage truck leaking dirty black liquid on entire road smelling awful. Kindly resolve.",Sanitation
"In Netaji Nagar Ward 185, power cut since morning no current in our whole colony for past one week. Very difficult situation.",Electricity
